	Вакансия	Ссылка	Мин. з/п	Макс. з/п	Валюта	Источник
125	Продавец в салон связи (Ижевск)	https://hh.ru/vacancy/38711778?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		32000	RUB	https://hh.ru/
126	Продавец-консультант	https://hh.ru/vacancy/39666550?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	49000	60000	RUB	https://hh.ru/
127	Продавец-консультант в салон связи	https://hh.ru/vacancy/38018513?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	36000	57000	RUB	https://hh.ru/
128	Продавец-консультант (ТЦ Шоколад)	https://hh.ru/vacancy/42356226?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		35000	RUB	https://hh.ru/
129	Продавец-консультант (ТЦ Волна)	https://hh.ru/vacancy/42531003?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	26000	65000	RUB	https://hh.ru/
130	Продавец-консультант (Аксай)	https://hh.ru/vacancy/38987671?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		40000	RUB	https://hh.ru/
131	Продавец-консультант (ТЦ Город м.Авиамоторная)	https://hh.ru/vacancy/38696287?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		35000	RUB	https://hh.ru/
132	Продавец-консультант (Рязань)	https://hh.ru/vacancy/37732524?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	39000	61000	RUB	https://hh.ru/
133	Продавец-консультант (ТЦ XL)	https://hh.ru/vacancy/39107134?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25000	RUB	https://hh.ru/
134	Продавец-консультант	https://hh.ru/vacancy/42519839?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	7000	11000		https://hh.ru/
135	Продавец	https://hh.ru/vacancy/42959755?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	29000	39000	RUB	https://hh.ru/
136	Продавец-консультант в салон связи	https://hh.ru/vacancy/42657556?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	40000	70000	RUB	https://hh.ru/
137	Продавец	https://hh.ru/vacancy/42767587?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	24200	33500	RUB	https://hh.ru/
138	Продавец	https://hh.ru/vacancy/42982218?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	33000	50000	RUB	https://hh.ru/
139	Продавец-консультант	https://hh.ru/vacancy/41713020?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		35000	RUB	https://hh.ru/
140	Продавец-консультант (г. Владивосток)	https://hh.ru/vacancy/37897687?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	41000	64000	RUB	https://hh.ru/
141	Продавец-консультант в МТС (Пушкино)	https://hh.ru/vacancy/40626108?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		62000	RUB	https://hh.ru/
142	Продавец	https://hh.ru/vacancy/42888178?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	53000	83000	RUB	https://hh.ru/
