	Вакансия	Ссылка	Мин. з/п	Макс. з/п	Валюта	Источник
1587	Продавец (Роща)	https://hh.ru/vacancy/42679049?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25000	RUB	https://hh.ru/
1588	Продавец-консультант	https://hh.ru/vacancy/42119269?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	24000	28000	RUB	https://hh.ru/
1589	Продавец Красноармейский район	https://hh.ru/vacancy/42570350?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		28500	RUB	https://hh.ru/
1590	"Продавец магазина ""Магнит-Косметик"" (г. Дзержинск, Привокзальная, д. 5\2)"	https://hh.ru/vacancy/42275976?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1591	Продавец-кассир, г .Брянск	https://hh.ru/vacancy/39576615?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	21000	23100	RUB	https://hh.ru/
1592	Продавец	https://hh.ru/vacancy/42895065?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1593	Продавец-консультант MANGO (м.Рыбацкое)	https://hh.ru/vacancy/37737160?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1594	"Продавец-кассир 20ч/нед (ТК ""Меркурий"")"	https://hh.ru/vacancy/42196644?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	14900	17250	RUB	https://hh.ru/
1595	Продавец	https://hh.ru/vacancy/42928683?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		18000	RUB	https://hh.ru/
1596	Продавец-кассир	https://hh.ru/vacancy/42902623?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25000	RUB	https://hh.ru/
1597	Продавец-универсал (частичная занятость)	https://hh.ru/vacancy/40812479?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1598	Продавец-консультант	https://hh.ru/vacancy/42401376?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		29000	RUB	https://hh.ru/
1599	Продавец	https://hh.ru/vacancy/40828611?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		37500	RUB	https://hh.ru/
1600	Продавец-консультант	https://hh.ru/vacancy/42848628?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	40000	60000	RUB	https://hh.ru/
1601	"Продавец-консультант по канцтоварам (Магазин РУСЬ, Гипермаркет ""ОФИСМАГ"")"	https://hh.ru/vacancy/42879105?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	23150	27400	RUB	https://hh.ru/
1602	Продавец цветов (ул.Чистопольская)	https://hh.ru/vacancy/42963991?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25000	RUB	https://hh.ru/
1603	Продавец-консультант	https://hh.ru/vacancy/42506882?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	30000	50000	RUB	https://hh.ru/
1604	Мерчендайзер/ продавец- консультант	https://hh.ru/vacancy/42704338?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	33000	35000	RUB	https://hh.ru/
1605	Продавец	https://hh.ru/vacancy/42246568?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	68000	130000	RUB	https://hh.ru/
1606	Продавец-консультант	https://hh.ru/vacancy/42372517?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	35000	50000	RUB	https://hh.ru/
1607	Продавец-кассир	https://hh.ru/vacancy/42986519?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		20000	RUB	https://hh.ru/
1608	Продавец	https://hh.ru/vacancy/41552389?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	50000	RUB	https://hh.ru/
1609	Продавец-кассир в магазин молодежной одежды Sinsay (ТЦ Меркурий СПб)	https://hh.ru/vacancy/42412435?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	18000	25000	RUB	https://hh.ru/
1610	Продавец	https://hh.ru/vacancy/36904471?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	920	990		https://hh.ru/
1611	Продавец-кассир	https://hh.ru/vacancy/42919055?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		26000	RUB	https://hh.ru/
1612	Продавець (Бериславське шосе, 17)	https://hh.ru/vacancy/42246895?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1613	Продавец-кассир в супермаркет Ярче	https://hh.ru/vacancy/42941127?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	28000	35000	RUB	https://hh.ru/
1614	Продавец-кассир	https://hh.ru/vacancy/42040865?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
1615	Продавец на выкладку товара (Ленинский проспект)	https://hh.ru/vacancy/42997202?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	28000	30000	RUB	https://hh.ru/
1616	Продавец-кассир в ТЦ Светофор	https://hh.ru/vacancy/42723084?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		40000	RUB	https://hh.ru/
1617	"Продавец-консультант (ТРЦ ""Dana Mall"")."	https://hh.ru/vacancy/42354837?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	470	700		https://hh.ru/
1618	Продавец-кассир	https://hh.ru/vacancy/42707012?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	19000	21000	RUB	https://hh.ru/
1619	Продавец-консультант/продавец-кассир (кассир)	https://hh.ru/vacancy/42655535?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		29000	RUB	https://hh.ru/
1620	Продавец	https://hh.ru/vacancy/40850409?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		35000	RUB	https://hh.ru/
1621	Продавец (Хмельницкие булочные,Дзержинского, 133)	https://hh.ru/vacancy/42813396?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	40000	50000	RUB	https://hh.ru/
1622	Продавец (ул. Дзержинского, 36/2)	https://hh.ru/vacancy/41138266?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
1623	Продавец-универсал магазина (пр-кт Красной Армии)	https://hh.ru/vacancy/42541995?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		40000	RUB	https://hh.ru/
1624	Продавец-консультант	https://hh.ru/vacancy/42230663?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1625	Продавец-кассир	https://hh.ru/vacancy/42107072?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		60000	RUB	https://hh.ru/
1626	Продавец-кассир	https://hh.ru/vacancy/41957745?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1627	Продавец-кассир	https://hh.ru/vacancy/42740830?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		35000	RUB	https://hh.ru/
1628	Продавец	https://hh.ru/vacancy/42946149?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	31000	RUB	https://hh.ru/
1629	Продавец-консультант	https://hh.ru/vacancy/42379250?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	50000	50000	RUB	https://hh.ru/
1630	Продавец	https://hh.ru/vacancy/42367828?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25000	RUB	https://hh.ru/
1631	Продавец-кассир (ТРЦ Изумрудный город)	https://hh.ru/vacancy/42984083?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	18000	20000	RUB	https://hh.ru/
1632	Продавец	https://hh.ru/vacancy/42926486?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		18000	RUB	https://hh.ru/
1633	Продавец электротоваров-универсал	https://hh.ru/vacancy/42637542?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	30000	50000	RUB	https://hh.ru/
1634	Продавец лотерейной продукции	https://hh.ru/vacancy/42521622?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		15000	RUB	https://hh.ru/
1635	Продавец - кассир	https://hh.ru/vacancy/42858904?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		60000	RUB	https://hh.ru/
1636	Продавец-консультант (Саратов, Энгельс)	https://hh.ru/vacancy/42303321?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
1637	Продавец-консультант	https://hh.ru/vacancy/42588922?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		20000	RUB	https://hh.ru/
1638	Продавец-кассир в ТЦ Манеж	https://hh.ru/vacancy/42889463?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1639	Продавец	https://hh.ru/vacancy/40334545?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		40000	RUB	https://hh.ru/
1640	Продавец-консультант	https://hh.ru/vacancy/42931397?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		40000	RUB	https://hh.ru/
1641	Кассир-продавец	https://hh.ru/vacancy/42955180?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
1642	Продавец-кассир	https://hh.ru/vacancy/42855331?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	60000	70000	RUB	https://hh.ru/
1643	Продавец-консультант (ТРК Центр, г. Дмитров)	https://hh.ru/vacancy/42958449?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	35000	RUB	https://hh.ru/
1644	Продавец-кассир	https://hh.ru/vacancy/42377976?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	38000	50000	RUB	https://hh.ru/
1645	Продавец	https://hh.ru/vacancy/40435552?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	27300	37507	RUB	https://hh.ru/
1646	Продавец	https://hh.ru/vacancy/42484509?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1647	Промо - продавец	https://hh.ru/vacancy/42853914?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		70000	RUB	https://hh.ru/
1648	Продавец-консультант нижнего белья Triumph	https://hh.ru/vacancy/42833988?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	30000	40000	RUB	https://hh.ru/
1649	Продавец-консультант	https://hh.ru/vacancy/42388047?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	40000	RUB	https://hh.ru/
1650	Продавец-консультант	https://hh.ru/vacancy/42626016?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	36000	RUB	https://hh.ru/
1651	Продавец	https://hh.ru/vacancy/40418379?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		23000	RUB	https://hh.ru/
1652	Продавец-кассир (м. Волоколамская)	https://hh.ru/vacancy/42931248?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		38000	RUB	https://hh.ru/
1653	Продавец-консультант	https://hh.ru/vacancy/42647168?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		40000	RUB	https://hh.ru/
1654	Продавец-универсал	https://hh.ru/vacancy/41842401?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1655	Продавец	https://hh.ru/vacancy/42948161?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		22000	RUB	https://hh.ru/
1656	Продавец-кассир	https://hh.ru/vacancy/42857055?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	15000	80000	RUB	https://hh.ru/
1657	Продавец	https://hh.ru/vacancy/42881509?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1658	Продавец-консультант магазина Sinsay Outleto ПОЛНАЯ занятость	https://hh.ru/vacancy/42550849?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1659	Продавец-кассир (ТЦ Галерея Чижова)	https://hh.ru/vacancy/41593233?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		19500	RUB	https://hh.ru/
1660	Продавец	https://hh.ru/vacancy/42876505?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		140000		https://hh.ru/
1661	Продавец (Денисовская, КОРОНА-СИТИ)	https://hh.ru/vacancy/39477075?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	920	990		https://hh.ru/
1662	Продавец-кассир	https://hh.ru/vacancy/42878890?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		18000	RUB	https://hh.ru/
1663	Продавец-кассир	https://hh.ru/vacancy/41930183?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
1664	Продавец-консультант	https://hh.ru/vacancy/42824303?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	20000	35000	RUB	https://hh.ru/
1665	Продавец	https://hh.ru/vacancy/42922688?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		18000	RUB	https://hh.ru/
1666	Продавец-кассир	https://hh.ru/vacancy/42424061?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	30000	RUB	https://hh.ru/
1667	Продавец-консультант , г.Тюмень	https://hh.ru/vacancy/42758286?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	45000	RUB	https://hh.ru/
1668	Продавец-кассир	https://hh.ru/vacancy/42298141?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	100000	150000		https://hh.ru/
1669	Продавец-консультант	https://hh.ru/vacancy/42352678?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	60000	RUB	https://hh.ru/
1670	Продавец на выкладку товара (Дыбенко)	https://hh.ru/vacancy/42998894?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	29000	30000	RUB	https://hh.ru/
1671	Продавец-кассир	https://hh.ru/vacancy/42404262?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		45000	RUB	https://hh.ru/
1672	Старший продавец-консультант / продавец-консультант	https://hh.ru/vacancy/42440751?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	29000	50000	RUB	https://hh.ru/
1673	Продавец-консультант канцелярских товаров (Свердловский р-он, Карамзина )	https://hh.ru/vacancy/42057416?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		26000	RUB	https://hh.ru/
1674	Продавец-консультант	https://hh.ru/vacancy/42374097?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	35000	RUB	https://hh.ru/
1675	Продавец - универсал (улица Суворова)	https://hh.ru/vacancy/42151849?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		27700	RUB	https://hh.ru/
1676	Продавец-кассир	https://hh.ru/vacancy/42682378?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		20000	RUB	https://hh.ru/
1677	Продавец (г. Протвино)	https://hh.ru/vacancy/42949778?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		50500	RUB	https://hh.ru/
1678	Продавец за прилавок / гастроном	https://hh.ru/vacancy/39840187?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	47000	55000	RUB	https://hh.ru/
1679	Продавец-консультант	https://hh.ru/vacancy/42886302?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		800		https://hh.ru/
1680	Продавец-консультант	https://hh.ru/vacancy/42622877?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		31000	RUB	https://hh.ru/
1681	Продавец-кассир (г. Кандалакша)	https://hh.ru/vacancy/42961720?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	22000	26000	RUB	https://hh.ru/
1682	Продавец-колеровщик	https://hh.ru/vacancy/42879131?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	150000	250000		https://hh.ru/
1683	Продавец-кассир (ТЦ Звёздочка)	https://hh.ru/vacancy/41879696?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		40700	RUB	https://hh.ru/
1684	Продавец-консультант	https://hh.ru/vacancy/42742455?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	30000	30000	RUB	https://hh.ru/
1685	Продавец-кассир	https://hh.ru/vacancy/42334634?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	35000	RUB	https://hh.ru/
1686	Продавец ( Усолье-Сибирское )	https://hh.ru/vacancy/41138391?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25000	RUB	https://hh.ru/
1687	Старший продавец	https://hh.ru/vacancy/42422040?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		35000	RUB	https://hh.ru/
1688	Продавец-консультант	https://hh.ru/vacancy/42216605?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		26500	RUB	https://hh.ru/
1689	Продавец (3 я Дачная,ЦЕНТР)	https://hh.ru/vacancy/38184955?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	23000	30000	RUB	https://hh.ru/
1690	Продавец-консультант (ТЦ Мандарин)	https://hh.ru/vacancy/42583279?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1691	Продавец разливного пива (ул. Кошурникова 29/5)	https://hh.ru/vacancy/42903235?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
1692	Продавец разливных напитков	https://hh.ru/vacancy/42905316?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	30000	35000	RUB	https://hh.ru/
1693	Продавец (непродовольственные товары)	https://hh.ru/vacancy/42345021?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	24200	28700	RUB	https://hh.ru/
1694	Продавец-консультант	https://hh.ru/vacancy/42396153?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	24000	28000	RUB	https://hh.ru/
1695	Продавец-кассир	https://hh.ru/vacancy/42898949?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	15000	30000	RUB	https://hh.ru/
1696	Продавец-кассир	https://hh.ru/vacancy/42565600?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1697	Продавец	https://hh.ru/vacancy/42361659?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		20000	RUB	https://hh.ru/
1698	Продавец-кассир	https://hh.ru/vacancy/39230597?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		60000	RUB	https://hh.ru/
1699	Продавец магазина	https://hh.ru/vacancy/42858944?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	35000	RUB	https://hh.ru/
1700	Продавец-кассир (ТЦ Максимир)	https://hh.ru/vacancy/40806179?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25900	RUB	https://hh.ru/
1701	Продавец-кассир (г. Лакинск, ул. Мира, д.18)	https://hh.ru/vacancy/42973432?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
1702	Продавец в магазин гаджетов	https://hh.ru/vacancy/42568091?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
1703	Продавец-кассир (ТЦ Столица)	https://hh.ru/vacancy/42913810?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	26000	26000	RUB	https://hh.ru/
1704	Кассир- продавец	https://hh.ru/vacancy/39783538?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	1800	2800	RUB	https://hh.ru/
1705	Продавец	https://hh.ru/vacancy/41096300?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25000	RUB	https://hh.ru/
1706	Продавец - кассир	https://hh.ru/vacancy/42662106?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		56500	RUB	https://hh.ru/
1707	Продавец-кассир	https://hh.ru/vacancy/42527161?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	95000	120000		https://hh.ru/
1708	Продавец	https://hh.ru/vacancy/42604595?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	22000	33000	RUB	https://hh.ru/
1709	Продавец непродовольственных товаров	https://hh.ru/vacancy/42038313?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
1710	Продавец-консультант	https://hh.ru/vacancy/42050004?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
1711	"Продавец на выкладку товара AppleBox (ТЦ ""Будапешт"")"	https://hh.ru/vacancy/42242026?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1712	"Продавец-кассир (ТЦ ""Боше"")"	https://hh.ru/vacancy/42984974?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1713	Продавец-кассир	https://hh.ru/vacancy/42789594?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25000	RUB	https://hh.ru/
1714	Продавец (ТЦ Меркурий)	https://hh.ru/vacancy/40506918?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		25343	RUB	https://hh.ru/
1715	Продавец-кассир	https://hh.ru/vacancy/42871671?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	35000	55000	RUB	https://hh.ru/
1716	Продавец в магазин обуви (г.Первоуральск)	https://hh.ru/vacancy/42921466?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		23000	RUB	https://hh.ru/
1717	Продавец-кассир магазина befree (ТРЦ Лапландия)	https://hh.ru/vacancy/42582925?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
1718	Продавец-консультант в отдел канцелярских товаров	https://hh.ru/vacancy/42250961?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		40000	RUB	https://hh.ru/
1719	Продавец-консультант (ТЦ ГОРКИ ПАРК)	https://hh.ru/vacancy/42750192?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	25000	40000	RUB	https://hh.ru/
1720	Продавец-консультант	https://hh.ru/vacancy/42651361?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		40000	RUB	https://hh.ru/
1721	Продавец	https://hh.ru/vacancy/42865601?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	30000	40000	RUB	https://hh.ru/
1722	Продавец-консультант	https://hh.ru/vacancy/42344579?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		27000	RUB	https://hh.ru/
1723	Продавец	https://hh.ru/vacancy/42758062?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		30000	RUB	https://hh.ru/
1724	Продавец-кассир (ТЦ Золотая Миля)	https://hh.ru/vacancy/42488040?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		13500	RUB	https://hh.ru/
1725	Продавец-консультант (Советский район)	https://hh.ru/vacancy/42976332?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	30000	35000	RUB	https://hh.ru/
1726	"Продавец-кассир (ТЦ ""Браво"")"	https://hh.ru/vacancy/43009375?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	34300	38000	RUB	https://hh.ru/
